#ServerReceiveDate,msec,HsSendDate,msec,ProtorolVer,Sn,Lat,Lon,G_amp,Seq,P_Shindo,P_Gal,S_ShindoEst,S_ShindoEst,S_Shindo,S_Gal,P_sn,P_co_p,TrigStartDate,msec,Uncertainty,isEq,Bcast,IsEew,Param,MdPort,MdEn,MdAct,Sp
9/8/17 4:49,770,4:49:39,736,2,1604062,15.6855,-93.2022,1.22,1,0.52,0.62,1.52,1.85,0.49,0.6,39,126,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,147,4:49:40,121,2,1604062,15.6855,-93.2022,1.22,2,0.59,0.67,1.59,2.01,0.57,0.65,38,166,9/8/17 4:49,446,0,2300,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,646,4:49:40,621,2,1604062,15.6855,-93.2022,1.22,3,0.67,0.74,1.67,2.21,0.67,0.74,41,216,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,249,4:49:41,223,2,1604062,15.6855,-93.2022,1.22,4,1.1,1.21,2.1,3.62,1.07,1.16,52,276,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,949,4:49:41,923,2,1604062,15.6855,-93.2022,1.22,5,1.39,1.68,2.39,5.05,1.36,1.63,64,346,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,847,4:49:42,821,2,1604062,15.6855,-93.2022,1.22,6,1.51,1.94,2.51,5.81,1.59,2.13,76,436,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,950,4:49:43,924,2,1604062,15.6855,-93.2022,1.22,7,1.52,1.97,2.52,5.9,1.73,2.5,83,546,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,348,4:49:45,324,2,1604062,15.6855,-93.2022,1.22,8,1.53,1.99,2.53,5.97,1.84,2.83,83,686,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,145,4:49:47,123,2,1604062,15.6855,-93.2022,1.22,9,1.52,1.96,2.52,5.87,2.12,3.92,83,866,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,37,4:49:49,2,2,1604393,16.2014,-95.1953,1.22,1,0.69,0.76,1.69,2.27,0.66,0.73,45,147,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,346,4:49:49,322,2,1604062,15.6855,-93.2022,1.22,10,1.55,2.03,2.55,6.1,2.31,4.88,83,1086,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,417,4:49:49,389,2,1604393,16.2014,-95.1953,1.22,2,0.79,0.85,1.79,2.54,0.79,0.85,48,187,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,674,4:49:49,637,2,1604396,16.20459,-95.2071,1.22,1,0.87,0.93,1.87,2.78,0.84,0.9,51,188,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,922,4:49:49,894,2,1604393,16.2014,-95.1953,1.22,3,1.15,1.28,2.15,3.86,1.15,1.28,62,237,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,164,4:49:50,126,2,1604396,16.20459,-95.2071,1.22,2,1.13,1.25,2.13,3.74,1.1,1.2,62,238,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,519,4:49:50,491,2,1604393,16.2014,-95.1953,1.22,4,1.45,1.82,2.45,5.45,1.45,1.82,74,297,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,758,4:49:50,726,2,1604396,16.20459,-95.2071,1.22,3,1.4,1.7,2.4,5.11,1.4,1.7,77,298,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,321,4:49:51,292,2,1604393,16.2014,-95.1953,1.22,5,1.67,2.34,2.67,7.02,1.67,2.34,88,377,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,554,4:49:51,526,2,1604396,16.20459,-95.2071,1.22,4,1.7,2.41,2.7,7.22,1.7,2.41,99,378,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
